"","spcode","spcode_4_3","accepted_species","dispersal_syndrome_modified","pollination_syndrome_modified","sexual_system_modified","mean_wd","seedlength_mm","seedlength_cat","n_mgg_1","p_mgg_1","n_p_ratio"
"138","pradat","pradatr","Pradosia atroviolacea","dani","pins","ssher",0.723833333333333,NA,"30_to_50mm",18.6,0.8,23.25
"139","protpa","protpan","Protium panamense","dani","pins","ssdio",0.452333333333333,NA,"1_to_6mm",21.75,1.16,18.75
"140","protpi","protpit","Protium pittieri","dani","pins","ssdio",0.475,NA,"30_to_50mm",23.86,1,23.86
"141","protra","protrav","Protium ravenii","dani","pins","ssdio",0.547353703703704,NA,"50_to_100mm",24.1,1.13,21.3274336283186
"142","protsc","protsch","Protium confusum","dani","pins","ssdio",0.547353703703704,NA,"30_to_50mm",2.3,1,2.3
"143","pseusu","pseuspu","Pseudolmedia spuria","dani","pins","ssdio",0.75,NA,"15_to_30mm",18.8,0.7,26.8571428571429
"144","pterof","pteroff","Pterocarpus officinalis","dwin","pins","ssher",0.378571428571429,NA,NA,33,1.2,27.5
"145","pterro","pterroh","Pterocarpus rohrii","dwin","pins","ssher",0.41625,NA,"15_to_30mm",37.18,1.81,20.5414364640884
"146","qualpo","qualpar","Qualea paraensis","dwin","pins",NA,0.689333333333333,NA,NA,18.1,1,18.1
"147","quarbr","quarbra","Matisia bracteolosa","dani","pmam","ssher",0.53495,NA,NA,22.8,1.3,17.5384615384615
"148","quarob","quarobl","Quararibea obliquifolia","dani","pmam","ssher",0.491416666666667,NA,NA,25,1.4,17.8571428571429
"149","richob","richobo","Richeria obovata","dani","pins","ssdio",0.576666666666667,NA,"15_to_30mm",24.2,1.1,22
"150","rollpi","rollpit","Rollinia pittieri","dvar","pins","ssher",0.27,NA,NA,26.82,1.39,19.294964028777
"151","sacotr","sacotri","Sacoglottis trichogyna","dani","pins","ssher",0.769547619047619,NA,"50_to_100mm",13.7,0.61,22.4590163934426
"152","sapigl","sapigla","Sapium glandulosum","dani","pins","ssmon",0.41525,NA,"1_to_6mm",22.6,1.8,12.5555555555556
"153","sapiri","sapirig","Sapium rigidifolium","dani","pins","ssher",0.431821428571429,NA,NA,27.29,1.76,15.5056818181818
"154","scleco","sclecos","Tachigali costaricensis","dwin","pins","ssher",0.578615384615385,NA,"50_to_100mm",34.66,0.81,42.7901234567901
"155","simaam","simaama","Simarouba amara","dani","pins","ssdio",0.383333333333333,NA,"15_to_30mm",27.85,0.95,29.3157894736842
"156","psycpa","simimax","Simira maxonii","dvar","pins","ssher",0.615,NA,"30_to_50mm",26.4,0.9,29.3333333333333
"157","sloagu","sloagui","Sloanea guianensis","dvar","pins",NA,0.8212,NA,"15_to_30mm",21,0.8,26.25
"158","sloami","sloamei","Sloanea meianthera","dvar","pins","ssher",0.7860375,NA,NA,19.45,0.75,25.9333333333333
"159","sloaru","sloarug","Sloanea rugosa","dvar","pins","ssher",0.7860375,NA,NA,19.45,0.75,25.9333333333333
"160","socrex","socrexo","Socratea exorrhiza","dani","pins","ssmon",0.23,NA,"30_to_50mm",21.01,1.06,19.8207547169811
"161","spacco","spaccor","Spachea correae","dwin","pins","ssher",0.595,NA,"1_to_6mm",26.4,1.3,20.3076923076923
"162","sponmo","sponmom","Spondias mombin","dani","pins","ssmon",0.389933333333333,5.6,"50_to_100mm",17.7,1.5,11.8
"163","stepco","stepcos","Stephanopodium costaricense","dani","pins","ssher",0.60142650396498,NA,NA,13.2,0.7,18.8571428571429
"164","sterre","sterrec","Sterculia recordiana","dani","pins","ssmon",0.49,NA,"50_to_100mm",20.38,0.99,20.5858585858586
"165","strymi","strymic","Stryphnodendron microstachyum","dani","pins","ssher",0.390666666666667,NA,"15_to_30mm",37.78,1.47,25.7006802721088
"166","tabral","tabealb","Tabernaemontana alba",NA,NA,NA,0.462333333333333,7.5,NA,22.59,1,22.59
"167","pescar","tabearb","Tabernaemontana arborea",NA,NA,NA,0.462333333333333,NA,"15_to_30mm",31.9,1.5,21.2666666666667
"168","tabech","tabechr","Tabebuia chrysantha","dwin","pins","ssher",0.995,NA,NA,34.5,1.4,24.6428571428571
"169","talagl","talaglo","Talauma gloriensis","dani","pins","ssher",0.60142650396498,NA,"15_to_30mm",23.5,0.8,29.375
"170","tapigu","tapigui","Tapirira guianensis","dvar","pins","ssdio",0.457,NA,"30_to_50mm",19.22,0.85,22.6117647058824
"171","tapugu","tapugui","Tapura guianensis","dani","pins","ssher",0.58,NA,NA,16.48,0.54,30.5185185185185
"172","termam","termama","Terminalia amazonia","dwin","pins","ssher",0.6735,2.7,"15_to_30mm",24.22,1.44,16.8194444444444
"173","termbu","termbuc","Terminalia bucidoides","dwin","pins","ssher",0.680918518518518,NA,NA,23.6,1.7,13.8823529411765
"174","termol","termobl","Terminalia oblonga","dwin","pins","ssher",0.694166666666667,NA,"6_to_15mm",24.9,1.6,15.5625
"175","tetrpa","tetrpan","Protium stevensonii","dani","pins","ssdio",0.547353703703704,NA,NA,16.09,0.64,25.140625
"176","theoan","theoang","Theobroma angustifolium","dvar","pins","ssher",0.5316,NA,"30_to_50mm",23,1.4,16.4285714285714
"177","tovowe","tovowed","Arawakia weddelliana","dani","pins","ssdio",0.60142650396498,NA,NA,18.36,0.89,20.6292134831461
"178","unonpi","unonpit","Unonopsis pittieri","dani","pins","ssher",0.368,NA,"30_to_50mm",29.9,1.5,19.9333333333333
"179","vantoc","vantbar","Vantanea barbourii","dani","pins","ssher",0.7,NA,"15_to_30mm",15,0.4,37.5
"180","vatalu","vatalun","Vatairea lundellii","dwin","pins","ssher",0.609,20.5,NA,21.4,0.8,26.75
"181","viroko","virokos","Virola koschnyi","dani","pins","ssdio",0.40775,19,"30_to_50mm",19.27,0.79,24.3924050632911
"182","viromu","viromul","Virola multiflora","dani","pins","ssdio",0.458,NA,"30_to_50mm",21.4,0.7,30.5714285714286
"183","virose","viroseb","Virola sebifera","dani","pins","ssdio",0.445375,NA,"15_to_30mm",27.17,1.07,25.392523364486
"184","viteco","vitecoo","Vitex cooperi","dani","pins","ssher",0.555770833333333,NA,"15_to_30mm",24.75,1.89,13.0952380952381
"185","vochal","vochall","Vochysia allenii","dwin","pins","ssher",0.442026666666667,NA,"6_to_15mm",2.3,0.7,3.28571428571429
"186","vochfe","vochfer","Vochysia ferruginea","dwin","pins","ssher",0.410166666666667,NA,"1_to_6mm",21.84,0.76,28.7368421052632
"187","vochgu","vochgua","Vochysia guatemalensis","dwin","pins","ssher",0.36125,1.2,"15_to_30mm",23.6,1.3,18.1538461538462
"188","welfre","welfreg","Welfia regia","dani","pins","ssmon",0.4,NA,"50_to_100mm",17.7,0.77,22.987012987013
"189","xylose","xyloser","Xylopia sericophylla","dani","pins","ssher",0.54,NA,"15_to_30mm",23.92,0.81,29.5308641975309
"190","zantpa","zantpan","Zanthoxylum panamense","dani","pins","ssdio",0.49,NA,"1_to_6mm",28.1,1.5,18.7333333333333
